from	to	arrows	dashes	length	ecosys_classic_color	ecosys_classic_width	ecosys_simplified_color	ecosys_simplified_width	ecosys_complex_color	ecosys_complex_width	rf_int_tesco_color	rf_int_tesco_width	rf_int_etsy_color	rf_int_etsy_width	rf_homeprod_neighbour_color	rf_homeprod_neighbour_width	rf_int_amazon_color	rf_int_amazon_width	rf_int_fb_color	rf_int_fb_width	ff_int_mcdonalds_color	ff_int_mcdonalds_width	ff_int_deliveroo_color	ff_int_deliveroo_width	ff_int_kukd_color	ff_int_kukd_width	ff_int_eathomemade_color	ff_int_eathomemade_width
1	3	to	F	100	white	1	grey	1	white	1	grey	1	grey	1	grey	1	grey	1	grey	1	grey	1	grey	1	grey	1	grey	1
1	5	to	F	100	white	1	white	1	grey	1	white	1	white	1	white	1	white	1	white	1	white	1	white	1	white	1	white	1
1	7	to	F	100	white	1	white	1	grey	1	white	1	white	1	white	1	white	1	00C0EF	3	white	1	white	1	white	1	white	1
1	10	to	F	100	white	1	white	1	grey	1	white	1	white	1	00C0EF	3	white	1	white	1	white	1	white	1	white	1	white	1
2	3	to	F	100	grey	1	grey	1	grey	1	00C0EF	3	00C0EF	3	grey	1	00C0EF	3	grey	1	grey	1	00C0EF	3	00C0EF	3	00C0EF	3
2	4	to	F	100	white	1	white	1	grey	1	white	1	white	1	white	1	white	1	white	1	white	1	white	1	white	1	white	1
2	5	to	F	100	white	1	white	1	grey	1	white	1	white	1	white	1	white	1	white	1	00C0EF	3	white	1	white	1	white	1
3	4	to	F	100	grey	1	grey	1	grey	1	00C0EF	3	00C0EF	3	grey	1	00C0EF	3	grey	1	grey	1	grey	1	grey	1	00C0EF	3
3	5	to	F	100	grey	1	grey	1	grey	1	grey	1	grey	1	grey	1	grey	1	grey	1	grey	1	00C0EF	3	00C0EF	3	grey	1
4	5	to	F	100	grey	1	grey	1	grey	1	grey	1	grey	1	grey	1	grey	1	grey	1	grey	1	grey	1	grey	1	00C0EF	3
4	6	to	F	100	white	1	grey	1	grey	1	grey	1	grey	1	grey	1	00C0EF	3	grey	1	grey	1	grey	1	grey	1	grey	1
4	7	to	F	100	white	1	grey	1	grey	1	grey	1	00C0EF	3	grey	1	grey	1	grey	1	grey	1	grey	1	grey	1	grey	1
4	9	to	F	100	white	1	white	1	white	1	white	1	white	1	white	1	white	1	white	1	white	1	white	1	white	1	white	1
4	10	to	F	100	grey	1	white	1	grey	1	00C0EF	3	white	1	white	1	white	1	white	1	white	1	white	1	white	1	white	1
5	8	to	T	100	white	1	grey	1	grey	1	grey	1	grey	1	grey	1	grey	1	grey	1	grey	1	00C0EF	3	grey	1	grey	1
5	9	to	T	100	white	1	grey	1	grey	1	grey	1	grey	1	grey	1	grey	1	grey	1	grey	1	grey	1	00C0EF	3	00C0EF	3
5	10	to	T	100	grey	1	white	1	grey	1	white	1	white	1	white	1	white	1	white	1	00C0EF	3	white	1	white	1	white	1
6	5	to	F	100	white	1	white	1	grey	1	white	1	white	1	white	1	white	1	white	1	white	1	white	1	white	1	white	1
6	10	to	F	100	white	1	grey	1	grey	1	grey	1	grey	1	grey	1	00C0EF	3	grey	1	grey	1	grey	1	grey	1	grey	1
7	5	to	F	100	white	1	white	1	grey	1	white	1	white	1	white	1	white	1	white	1	white	1	white	1	white	1	white	1
7	10	to	F	100	white	1	grey	1	grey	1	grey	1	00C0EF	3	grey	1	grey	1	00C0EF	3	grey	1	grey	1	grey	1	grey	1
8	10	to	T	100	white	1	grey	1	grey	1	grey	1	grey	1	grey	1	grey	1	grey	1	grey	1	00C0EF	3	grey	1	grey	1
9	10	to	T	100	white	1	grey	1	grey	1	grey	1	grey	1	grey	1	grey	1	grey	1	grey	1	grey	1	00C0EF	3	00C0EF	3
10	11	to	T	10	white	1	white	1	white	1	white	1	white	1	white	1	white	1	white	1	white	1	white	1	white	1	white	1
