id	level	label	shape	value	x	y	color	ecosys_classic_color	ecosys_simplified_color	ecosys_complex_color	rf_int_tesco_color	rf_int_etsy_color	rf_homeprod_neighbour_color	rf_int_amazon_color	rf_int_fb_color	ff_int_mcdonalds_color	ff_int_deliveroo_color	ff_int_kukd_color	ff_int_eathomemade_color	ecosys_classic_title	ecosys_simplified_title	ecosys_complex_title	rf_int_tesco_title	rf_int_etsy_title	rf_homeprod_neighbour_title	rf_int_amazon_title	rf_int_fb_title	ff_int_mcdonalds_title	ff_int_deliveroo_title	ff_int_kukd_title	ff_int_eathomemade_title	ecosys_classic_fontcolor	ecosys_simplified_fontcolor	ecosys_complex_fontcolor	rf_int_tesco_fontcolor	rf_int_etsy_fontcolor	rf_homeprod_neighbour_fontcolor	rf_int_amazon_fontcolor	rf_int_fb_fontcolor	ff_int_mcdonalds_fontcolor	ff_int_deliveroo_fontcolor	ff_int_kukd_fontcolor	ff_int_eathomemade_fontcolor
1	1	Local Farming	square	1	-800	-200	#CDBA51	NA	default	default	deselected	deselected	highlighted	deselected	highlighted	deselected	deselected	deselected	deselected		Local Farming	Local Farming			Local Farming		Local Farming					white	black	black	black	black	black	black	black	black	black	black	black
2	1	Industrial Farming	square	1	-800	200	#CDBA51	default	default	default	highlighted	highlighted	deselected	highlighted	deselected	highlighted	highlighted	highlighted	highlighted	Industrial Farming	Industrial Farming	Industrial Farming	Industrial Farming	Industrial Farming		Industrial Farming		Industrial Farming	Industrial Farming	Industrial Farming	Industrial Farming	black	black	black	black	black	black	black	black	black	black	black	black
3	2	Distributors	square	1	-600	0	#FBAC0E	default	default	default	highlighted	highlighted	deselected	highlighted	deselected	deselected	highlighted	highlighted	highlighted	Distributors	Distributors	Distributors	Distributors	Distributors		Distributors			Distributors	Distributors	Distributors	black	black	black	black	black	black	black	black	black	black	black	black
4	3	Raw Foods Vendors	square	1	-350	-200	#F77F00	default	default	default	highlighted	highlighted	deselected	highlighted	deselected	deselected	deselected	deselected	highlighted	Raw Food Vendors: Supermarkets	"Raw Food Vendors: Recipe Boxes, Supermarkets"	"Raw Food Vendors: Recipe Boxes, Supermarkets"	Raw Food Vendors: Supermarkets	Raw Food Vendors: Supermarkets		Raw Food Vendors: Supermarkets					Raw Food Vendors: Supermarkets	black	black	black	black	black	black	black	black	black	black	black	black
5	3	Finished Foods Vendors	square	1	-350	200	#F77F00	default	default	default	deselected	deselected	deselected	deselected	deselected	highlighted	highlighted	highlighted	highlighted	"Finished Food Vendors: Caterings, Restaurants, Chains"	"Finished Food Vendors: Home Kitchens, Takeaway/Restaurants, Restaurant Chains, Supper Clubs, Trucks & Mobile, Large Caterings"	"Finished Food Vendors: Home Kitchens, Takeaway/Restaurants, Restaurant Chains, Supper Clubs, Trucks & Mobile, Large Caterings"						Finished Food Vendors: Restaurant Chains	"Finished Food Vendors: Takeaway/Restaurants, Restaurant Chains"	"Finished Food Vendors: Takeaway/Restaurants, Restaurant Chains"	Finished Food Vendors: Home Kitchens	black	black	black	black	black	black	black	black	black	black	black	black
6	4	Raw Foods Handling Intermediaries	square	1	100	-200	#DF5353	NA	default	default	deselected	deselected	deselected	highlighted	deselected	deselected	deselected	deselected	deselected		Raw Foods Handling Intermediaries: Ordering & Logistics	Raw Foods Handling Intermediaries: Ordering & Logistics				Raw Foods Handling Intermediaries: Ordering & Logistics						white	black	black	black	black	black	black	black	black	black	black	black
7	4	Raw Foods No-Handling Intermediaries	square	1	100	-400	#DF5353	NA	default	default	deselected	highlighted	deselected	deselected	highlighted	deselected	deselected	deselected	deselected		"Raw Foods No-Handling Intermediaries: Ordering & Logistics, Marketplaces"	"Raw Foods No-Handling Intermediaries: Ordering & Logistics, Marketplaces"					Raw Foods No-Handling Intermediaries: Marketplaces					white	black	black	black	black	black	black	black	black	black	black	black
8	4	Finished Foods Handling Intermediaries	square	1	100	200	#DF5353	NA	default	default	deselected	deselected	deselected	deselected	deselected	deselected	highlighted	deselected	deselected		Finished Foods Handling Intermediaries: Ordering & Logistics	Finished Foods Handling Intermediaries: Ordering & Logistics							Finished Foods Handling Intermediaries: Ordering & Logistics			white	black	black	black	black	black	black	black	black	black	black	black
9	4	Finished Foods No-Handling Intermediaries	square	1	100	400	#DF5353	NA	default	default	deselected	deselected	deselected	deselected	deselected	deselected	deselected	highlighted	highlighted		"Finished Foods No-Handling Intermediaries: Ordering & Logistics, Marketplaces"	"Finished Foods No-Handling Intermediaries: Ordering & Logistics, Marketplaces"								Finished Foods No-Handling Intermediaries: Ordering & Logistics	Finished Foods No-Handling Intermediaries: Ordering & Logistics	white	black	black	black	black	black	black	black	black	black	black	black
10	5	Consumers	square	1	400	0	lightgrey	default	default	default	highlighted	highlighted	highlighted	highlighted	highlighted	highlighted	highlighted	highlighted	highlighted	Consumers	Consumers	Consumers	Consumers	Consumers	Consumers	Consumers	Consumers	Consumers	Consumers	Consumers	Consumers	black	black	black	black	black	black	black	black	black	black	black	black
11	6	Informative Platforms	diamond	1	600	0	#558B80	NA	default	default	deselected	deselected	deselected	deselected	deselected	deselected	deselected	deselected	deselected		Informative Platforms	Informative Platforms										white	black	black	black	black	black	black	black	black	black	black	black
