ecosys_name	ecosys_dropdown	ecosys_dropdown_title	ecosys_description	nodecolor	title	edgecolor	width	fontcolor
ecosys_classic	Classic	Classic	Classic Ecosystem	ecosys_classic_color	ecosys_classic_title	ecosys_classic_color	ecosys_classic_width	ecosys_classic_fontcolor
ecosys_simplified	Current_Simplified	Current (simplified)	Simplified Ecosystem: Basic relationships	ecosys_simplified_color	ecosys_simplified_title	ecosys_simplified_color	ecosys_simplified_width	ecosys_simplified_fontcolor
ecosys_complex	Current_Complex	Current (complex)	Complex Ecosystem: All potential relationships	ecosys_complex_color	ecosys_complex_title	ecosys_complex_color	ecosys_complex_width	ecosys_complex_fontcolor
rf_int_tesco	eg_Tomatoes_Tesco	Tomatoes from Tesco	"Raw Foods via Industrial Farming, Distributors, and Raw Foods Vendors"	rf_int_tesco_color	rf_int_tesco_title	rf_int_tesco_color	rf_int_tesco_width	rf_int_tesco_fontcolor
rf_int_etsy	eg_Tomatoes_Etsy	Tomatoes from Etsy	"Raw Foods via Industrial Farming, Distributors, Raw Foods Vendors, and Raw Foods No-Handling Intermediaries"	rf_int_etsy_color	rf_int_etsy_title	rf_int_etsy_color	rf_int_etsy_width	rf_int_etsy_fontcolor
rf_homeprod_neighbour	eg_HomegrownTomatoes_Neighbour	Tomatoes (homegrown) from Neighbour	Raw Foods via Local Farming	rf_homeprod_neighbour_color	rf_homeprod_neighbour_title	rf_homeprod_neighbour_color	rf_homeprod_neighbour_width	rf_homeprod_neighbour_fontcolor
rf_int_amazon	eg_Tomatoes_Amazon	Tomatoes from Amazon	"Raw Foods via Industrial Farming, Distributors, Raw Foods Vendors, and Raw Foods Handling Intermediaries"	rf_int_amazon_color	rf_int_amazon_title	rf_int_amazon_color	rf_int_amazon_width	rf_int_amazon_fontcolor
rf_int_fb	eg_HomegrownTomatoes_Facebook	Tomatoes (homegrown) from Facebook	Raw Foods via Local Farming and Raw Foods No-Handling Intermediaries	rf_int_fb_color	rf_int_fb_title	rf_int_fb_color	rf_int_fb_width	rf_int_fb_fontcolor
ff_int_mcdonalds	eg_TomatoSoup_McDonalds	Tomatosoup from McDonalds	Finished Foods via Industrial Farming and Finished Foods Vendors	ff_int_mcdonalds_color	ff_int_mcdonalds_title	ff_int_mcdonalds_color	ff_int_mcdonalds_width	ff_int_mcdonalds_fontcolor
ff_int_deliveroo	eg_TomatoSoup_Deliveroo	Tomatosoup from Deliveroo	"Finished Foods via Industrial Farming, Distributors, Finished Foods Vendors, and Finished Foods Handling Intermediaries"	ff_int_deliveroo_color	ff_int_deliveroo_title	ff_int_deliveroo_color	ff_int_deliveroo_width	ff_int_deliveroo_fontcolor
ff_int_kukd	eg_TomatoSoup_Kukd	Tomatosoup from Kukd	"Finished Foods via Industrial Farming, Distributors, Finished Foods Vendors, and Finished Foods No-Handling Intermediaries"	ff_int_kukd_color	ff_int_kukd_title	ff_int_kukd_color	ff_int_kukd_width	ff_int_kukd_fontcolor
ff_int_eathomemade	eg_TomatoSoup_EatHomeMade	Tomatosoup from EatHomeMade	"Finished Foods via Industrial Farming, Distributors, Raw Foods Vendors, Finished Foods Vendors, and Finished Foods No-Handling Intermediaries"	ff_int_eathomemade_color	ff_int_eathomemade_title	ff_int_eathomemade_color	ff_int_eathomemade_width	ff_int_eathomemade_fontcolor
